"title","n_paragraphs","innov_share","rights_share","subst_share","rhet_share","none_share","balance_strict","balance_lenient"
"AI Continent Action Plan delivers major milestones",2,1,0.5,0,0.5,0.5,-1,-0.75
"AI Continent action plan",1,1,0,0,0,1,-1,-1
"Communication on boosting startups and innovation in trustworthy artificial intelligence",3,1,0.667,0,1,0,-1,-0.5
"Data Union Strategy",7,1,0.286,0,0.429,0.571,-1,-0.786
"The Action Plan",2,1,0,0,0.5,0.5,-1,-0.75
"AI Continent Action Plan",8,0.875,0.125,0,0.125,0.875,-0.875,-0.812
"AI Continent Action Plan - Q&A",11,0.909,0.273,0.091,0.273,0.636,-0.818,-0.682
"Apply AI Strategy",5,0.8,0,0,0,1,-0.8,-0.8
"Digital Simplification Package",9,0.778,0.222,0,0.222,0.778,-0.778,-0.667
"AI innovation package to support Artificial Intelligence startups and SMEs",4,1,0.5,0.25,0.5,0.25,-0.75,-0.5
"Apply AI Alliance",4,0.25,0.5,0,0.5,0.5,-0.25,0
"AI omnibus",3,0.667,0.667,0.667,0,0.333,0,0
