"title","institution","n_paragraphs"
"AI Continent Action Plan - Q&A","European Commission",11
"Digital Simplification Package","European Commission",9
"AI Continent Action Plan","European Commission",8
"Data Union Strategy","European Commission",7
"Apply AI Strategy","European Commission",5
"AI innovation package to support Artificial Intelligence startups and SMEs","European Commission",4
"Apply AI Alliance","European Commission",4
"AI omnibus","European Commission",3
"Communication on boosting startups and innovation in trustworthy artificial intelligence","European Commission",3
"AI Continent Action Plan delivers major milestones","European Commission",2
"The Action Plan","European Commission",2
"AI Continent action plan","European Commission",1
