source,url,title,date,institution,doc_type,language
ec,https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence#main-content,Skip to main content,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence,en,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/bg/policies/artificial-intelligence,bgбългарски,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/es/policies/artificial-intelligence,esespañol,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/da/policies/artificial-intelligence,dadansk,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/de/policies/artificial-intelligence,deDeutsch,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/et/policies/artificial-intelligence,eteesti,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/el/policies/artificial-intelligence,elελληνικά,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/fr/policies/artificial-intelligence,frfrançais,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/ga/policies/artificial-intelligence,gaGaeilge,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/hr/policies/artificial-intelligence,hrhrvatski,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/it/policies/artificial-intelligence,ititaliano,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/lv/policies/artificial-intelligence,lvlatviešu,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/lt/policies/artificial-intelligence,ltlietuvių,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/hu/policies/artificial-intelligence,humagyar,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/mt/policies/artificial-intelligence,mtMalti,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/nl/policies/artificial-intelligence,nlNederlands,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/pl/policies/artificial-intelligence,plpolski,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/pt/policies/artificial-intelligence,ptportuguês,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/ro/policies/artificial-intelligence,roromână,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/sk/policies/artificial-intelligence,skslovenčina,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/sl/policies/artificial-intelligence,slslovenščina,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/fi/policies/artificial-intelligence,fisuomi,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/sv/policies/artificial-intelligence,svsvenska,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/shaping-europes-digital-future,Home,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies,Policies,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/activities,Activities,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news,News,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library,Library,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/funding,Funding,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/events,Calendar,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/consultations,Consultations,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/ai-office,AI Office,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en,Home,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/european-approach-artificial-intelligence,European approach to AI,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,AI Act,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/ai-continent-action-plan,AI Continent action plan,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/apply-ai,Apply AI Strategy,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/ai-factories,AI Factories and gigafactories,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/support-ecosystem-ai-innovation-europe,Support ecosystem for AI innovation in Europe,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/enabling-ai,AI Excellence: Enabling conditions for AI’s development and uptake,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/childrens-protection-online-high-priority-92-europeans,Children’s protection online is high priority for 92% of Europeans,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/commission-opens-consultation-draft-guidelines-ai-transparency-obligations,Commission opens consultation on draft guidelines for AI transparency obligations,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/consultations/consultation-draft-guidelines-transparency-obligations-under-ai-act,Consultation on the draft guidelines on transparency obligations under the AI Act,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/eu-agrees-simplify-ai-rules-boost-innovation-and-ban-nudification-apps-protect-citizens,EU agrees to simplify AI rules to boost innovation and ban ‘nudification' apps to protect citizens,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/related-content?topic=119,Browse Artificial intelligence,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/european-ai-research,European research development and deployment of AI,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence-health,Artificial Intelligence in Health,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/language-technologies,Language technologies,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/robotics,Robotics,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/node/70/printable/pdf,Print as PDF,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/write-us,Contact DG CONNECT,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/pages/accessibility,Accessibility statement,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/pages/legal-notice,Copyright notice,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/european-approach-artificial-intelligence#main-content,Skip to main content,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/bg/policies/european-approach-artificial-intelligence,bgбългарски,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/es/policies/european-approach-artificial-intelligence,esespañol,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/cs/policies/european-approach-artificial-intelligence,csčeština,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/da/policies/european-approach-artificial-intelligence,dadansk,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/de/policies/european-approach-artificial-intelligence,deDeutsch,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/et/policies/european-approach-artificial-intelligence,eteesti,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/el/policies/european-approach-artificial-intelligence,elελληνικά,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/fr/policies/european-approach-artificial-intelligence,frfrançais,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/ga/policies/european-approach-artificial-intelligence,gaGaeilge,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/hr/policies/european-approach-artificial-intelligence,hrhrvatski,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/it/policies/european-approach-artificial-intelligence,ititaliano,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/lv/policies/european-approach-artificial-intelligence,lvlatviešu,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/lt/policies/european-approach-artificial-intelligence,ltlietuvių,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/hu/policies/european-approach-artificial-intelligence,humagyar,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/mt/policies/european-approach-artificial-intelligence,mtMalti,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/nl/policies/european-approach-artificial-intelligence,nlNederlands,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/pl/policies/european-approach-artificial-intelligence,plpolski,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/pt/policies/european-approach-artificial-intelligence,ptportuguês,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/ro/policies/european-approach-artificial-intelligence,roromână,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/sk/policies/european-approach-artificial-intelligence,skslovenčina,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/sl/policies/european-approach-artificial-intelligence,slslovenščina,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/fi/policies/european-approach-artificial-intelligence,fisuomi,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/sv/policies/european-approach-artificial-intelligence,svsvenska,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/european-approach-artificial-intelligence#ecl-inpage-ai-continent-action-plan-and-apply-ai-strategy,AI Continent Action Plan and Apply AI Strategy,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/european-approach-artificial-intelligence#ecl-inpage-ai-innovation-package-and-genai4eu-initiative,AI innovation package and GenAI4EU initiative,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/european-approach-artificial-intelligence#ecl-inpage-a-european-approach-to-excellence-in-ai,A European approach to excellence in AI,NA,European Commission,Discovered URL,EN
